SeqName	SeqDesc	GOTerms	Enzymes	KeggMaps
dp_gene12092	ATP synthase lipid-binding mitochondrial	integral component of membrane;proton-transporting ATP synthase complex, coupling factor F(o);hydrogen ion transmembrane transporter activity;ATP synthesis coupled proton transport;ATP hydrolysis coupled proton transport		
dp_gene12093	Peroxisomal membrane 11C	integral component of peroxisomal membrane;peroxisome fission		
dp_gene12094	Phospholipase A2 M1-3-3			
dp_gene12095	WD40 repeat-containing SMU1	intracellular part		
dp_gene12096	BTB POZ domain-containing 17			
dp_gene12097	Dipeptidyl peptidase 9	serine-type peptidase activity;proteolysis		
dp_gene12098	hypothetical protein DAPPUDRAFT_304114			
dp_gene12099	hypothetical protein DAPPUDRAFT_243622			
dp_gene12100	hypothetical protein DAPPUDRAFT_101596			
dp_gene12101	hypothetical protein DAPPUDRAFT_240809			
dp_gene12102	hypothetical protein DAPPUDRAFT_304031	membrane		
dp_gene12103	couch potato isoform X1	nucleotide binding;nucleic acid binding		
dp_gene12104	RNA-binding with multiple splicing	nucleotide binding;nucleic acid binding		
dp_gene12105	Angiopoietin-2	integral component of membrane		
dp_gene12106	Inorganic phosphate cotransporter	integral component of membrane;transmembrane transporter activity;anion transport;transmembrane transport		
dp_gene12107	Mothers against decapentaplegic	nucleus;transcription factor complex;cytoplasm;integral component of membrane;DNA binding;transcription factor activity, sequence-specific DNA binding;transcription, DNA-templated;regulation of transcription, DNA-templated;transforming growth factor beta receptor signaling pathway		
dp_gene12108	Single-strand selective monofunctional uracil DNA glycosylase	nuclear lumen;oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity;uracil DNA N-glycosylase activity;DNA metabolic process		
dp_gene12109	glycerol-3-phosphate dehydrogenase [NAD(+)] cytoplasmic isoform X2	glycerol-3-phosphate dehydrogenase complex;membrane-bounded organelle;glycerol-3-phosphate dehydrogenase [NAD+] activity;glycerol-3-phosphate dehydrogenase activity;protein homodimerization activity;NAD binding;carbohydrate metabolic process;NADH oxidation;intracellular accumulation of glycerol;glycerol-3-phosphate catabolic process;cellular response to organic substance		
dp_gene12110	coronin-2B-like isoform X2	actin cytoskeleton;actin filament binding;actin cytoskeleton organization		
dp_gene12111	Pupal cuticle			
dp_gene12112	Flocculation FLO11	nucleus;cytosol;histone-arginine N-methyltransferase activity;regulation of transcription, DNA-templated;peptidyl-arginine methylation, to symmetrical-dimethyl arginine;histone arginine methylation		
dp_gene12113	Dynein heavy chain axonemal	dynein complex;microtubule motor activity;ATP binding;ATPase activity;microtubule-based movement		
dp_gene12114	Brevican core	transferase activity		
dp_gene12115	hypothetical protein DAPPUDRAFT_237365			
dp_gene12116	Chorion peroxidase precursor	peroxidase activity;cellular oxidant detoxification		
dp_gene12117	Chorion peroxidase precursor	chorion;peroxidase activity;heme binding;response to oxidative stress;oxidation-reduction process;cellular oxidant detoxification		
dp_gene12118	Ferric-chelate reductase	integral component of membrane;oxidation-reduction process		
dp_gene12119	cu2+ zn2+ superoxide dismutase	cytoplasm;superoxide dismutase activity;copper ion binding;zinc ion binding;removal of superoxide radicals;oxidation-reduction process		
dp_gene12120	hypothetical protein DAPPUDRAFT_240809			
dp_gene12121	Helicase c-terminal domain containing			
dp_gene12122	Lactosylceramide 1,3-N-acetyl-beta-D-glucosaminyltransferase	Golgi membrane;integral component of membrane;galactosyltransferase activity;protein glycosylation		
dp_gene12123	Chorion peroxidase precursor	chorion;peroxidase activity;heme binding;response to oxidative stress;oxidation-reduction process;cellular oxidant detoxification		
dp_gene12124	Chorion peroxidase precursor	chorion;peroxidase activity;heme binding;response to oxidative stress;oxidation-reduction process;cellular oxidant detoxification		
dp_gene12125	Membrane glyco lig-1			
dp_gene12126	---NA---			
dp_gene12127	Membrane glyco lig-1	peroxidase activity;cellular oxidant detoxification		
dp_gene12128	Chorion peroxidase precursor	peroxidase activity;cellular oxidant detoxification		
dp_gene12129	Angiotensin-converting enzyme 3 precursor	membrane;carboxypeptidase activity;metallopeptidase activity;peptidyl-dipeptidase activity;metal ion binding;proteolysis		
dp_gene12130	Secreted	integral component of membrane		
dp_gene12131	Secreted	integral component of membrane		
dp_gene12132	Solute carrier family 35 member B1	integral component of Golgi membrane;integral component of endoplasmic reticulum membrane;UDP-galactose transmembrane transporter activity;UDP-galactose transmembrane transport		
dp_gene12133	pygopus	zinc ion binding		
dp_gene12134	probable ATP-dependent RNA helicase DHX34	nucleic acid binding;helicase activity;ATP binding		
dp_gene12135	TBRG4	protein kinase activity;protein phosphorylation		
dp_gene12136	NATD1			
dp_gene12137	transport Sec61 subunit gamma	endoplasmic reticulum membrane;integral component of membrane;P-P-bond-hydrolysis-driven protein transmembrane transporter activity;protein targeting to ER;protein transmembrane transport		
dp_gene12138	NAD kinase mitochondrial-like	mitochondrion;NAD+ kinase activity;ATP binding;protein homodimerization activity;NADP biosynthetic process;phosphorylation;NAD metabolic process		
dp_gene12139	SWI SNF complex subunit SMARCC2	BAF-type complex;DNA binding;chromatin remodeling;regulation of transcription from RNA polymerase II promoter		
dp_gene12140	---NA---			
dp_gene12141	Transient receptor potential cation channel subfamily M member	integral component of membrane;ion channel activity;ion transmembrane transport;protein tetramerization		
dp_gene12142	Transient receptor potential cation channel subfamily M member	integral component of membrane;ion channel activity;ion transmembrane transport		
dp_gene12143	GON-4 isoform X3			
dp_gene12144	hypothetical protein DAPPUDRAFT_332852			
dp_gene12145	Jmjc domain-containing histone demethylation			
dp_gene12146	Jmjc domain-containing histone demethylation			
dp_gene12147	hypothetical protein DAPPUDRAFT_224770			
dp_gene12148	hypothetical protein DAPPUDRAFT_243710	integral component of membrane		
dp_gene12149	Jmjc domain-containing histone demethylation	nucleic acid binding;zinc ion binding		
dp_gene12150	hypothetical protein DAPPUDRAFT_243712			
dp_gene12151	myc box-dependent-interacting 1 isoform X1	cytoplasm		
dp_gene12152	hypothetical protein DAPPUDRAFT_304137	nucleic acid binding		
dp_gene12153	Nucleolar pre-ribosomal-associated	nucleic acid binding		
dp_gene12154	transcriptional repressor salm	nucleic acid binding		
dp_gene12155	Alpha-mannosidase 2	integral component of membrane;alpha-mannosidase activity;zinc ion binding;carbohydrate binding;mannose metabolic process		
dp_gene12156	hypothetical protein	integral component of membrane		
dp_gene12157	major facilitator superfamily domain-containing 6	integral component of membrane		
dp_gene12158	hypothetical protein DAPPUDRAFT_332853			
dp_gene12159	---NA---			
dp_gene12160	Contactin-associated 1	collagen trimer;membrane;extracellular matrix structural constituent		
dp_gene12161	Transmembrane protease serine 11D	serine-type endopeptidase activity;proteolysis		
dp_gene12162	---NA---			
dp_gene12163	hypothetical protein DAPPUDRAFT_318667			
dp_gene12164	Macrophage MHC class I receptor 2	integral component of membrane		
dp_gene12165	Transmembrane protease serine 11D	serine-type endopeptidase activity;proteolysis		
dp_gene12166	---NA---			
dp_gene12167	Membrane glyco lig-			
dp_gene12168	Inositol 1,4,5-trisphosphate receptor type	endoplasmic reticulum;integral component of membrane;inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity;inositol phosphate-mediated signaling;calcium ion transmembrane transport		
dp_gene12169	Proclotting enzyme	serine-type endopeptidase activity;proteolysis		
dp_gene12170	---NA---			
dp_gene12171	Neuropeptide F	integral component of membrane;neuropeptide signaling pathway		
dp_gene12172	Ornithine decarboxylase antizyme	ornithine decarboxylase inhibitor activity;negative regulation of catalytic activity		
dp_gene12173	Sentrin-specific protease 6			
dp_gene12174	Histone-lysine N-methyltransferase MLL3	nucleus;zinc ion binding;histone-lysine N-methyltransferase activity;histone H3-K4 methylation		
dp_gene12175	Histone-lysine N-methyltransferase MLL3	nucleus;zinc ion binding;histone-lysine N-methyltransferase activity;histone H3-K4 methylation		
dp_gene12176	Histone-lysine N-methyltransferase MLL3	nucleus;zinc ion binding;histone-lysine N-methyltransferase activity;histone H3-K4 methylation		
dp_gene12177	Histone-lysine N-methyltransferase MLL3	zinc ion binding;transferase activity		
dp_gene12178	Serine threonine- kinase 11-interacting	kinase activity;phosphorylation		
dp_gene12179	39S ribosomal mitochondrial	mitochondrial large ribosomal subunit;structural constituent of ribosome;translation		
dp_gene12180	tubulin-specific chaperone D	microtubule;adherens junction;bicellular tight junction;integral component of membrane;lateral plasma membrane;GTPase activator activity;beta-tubulin binding;microtubule cytoskeleton organization;protein folding;tubulin complex assembly;adherens junction assembly;positive regulation of GTPase activity;bicellular tight junction assembly		
dp_gene12181	hypothetical protein DAPPUDRAFT_243745			
dp_gene12182	hypothetical protein DAPPUDRAFT_243745			
dp_gene12183	hypothetical protein DAPPUDRAFT_243745			
dp_gene12184	39S ribosomal mitochondrial	mitochondrial ribosome;structural constituent of ribosome;rRNA binding;ribosomal large subunit assembly;translation		
dp_gene12185	Ribosomal l20			
dp_gene12186	---NA---			
dp_gene12187	hypothetical protein DAPPUDRAFT_243738	integral component of membrane		
dp_gene12188	hypothetical protein DAPPUDRAFT_304147	integral component of membrane		
dp_gene12189	hypothetical protein DAPPUDRAFT_243745			
dp_gene12190	hypothetical protein DAPPUDRAFT_243749			
dp_gene12191	hypothetical protein DAPPUDRAFT_103561	membrane		
dp_gene12192	Histone-lysine N-methyltransferase MLL3	nucleus;zinc ion binding;histone-lysine N-methyltransferase activity;histone H3-K4 methylation		
dp_gene12193	Serine threonine- kinase 11-interacting	kinase activity;phosphorylation		
dp_gene12194	39S ribosomal mitochondrial	mitochondrial large ribosomal subunit;structural constituent of ribosome;translation		
dp_gene12195	tubulin-specific chaperone D	microtubule;adherens junction;bicellular tight junction;integral component of membrane;lateral plasma membrane;GTPase activator activity;beta-tubulin binding;microtubule cytoskeleton organization;protein folding;tubulin complex assembly;adherens junction assembly;positive regulation of GTPase activity;bicellular tight junction assembly		
dp_gene12196	hypothetical protein DAPPUDRAFT_243745			
dp_gene12197	39S ribosomal mitochondrial	mitochondrial ribosome;structural constituent of ribosome;rRNA binding;ribosomal large subunit assembly;translation		
dp_gene12198	Signal CUB and EGF domain-containing			
dp_gene12199	hypothetical protein DAPPUDRAFT_243738	integral component of membrane		
dp_gene12200	hypothetical protein DAPPUDRAFT_304147	membrane		
dp_gene12201	hypothetical protein DAPPUDRAFT_243749			
dp_gene12202	hypothetical protein DAPPUDRAFT_103554			
dp_gene12203	hypothetical protein DAPPUDRAFT_243752	integral component of membrane		
dp_gene12204	hypothetical protein DAPPUDRAFT_304148			
dp_gene12205	hypothetical protein DAPPUDRAFT_103558			
dp_gene12206	hypothetical protein DAPPUDRAFT_304150	integral component of membrane		
dp_gene12207	hypothetical protein DAPPUDRAFT_304151	integral component of membrane		
dp_gene12208	---NA---			
dp_gene12209	Solute carrier family 13 member	integral component of plasma membrane;citrate transmembrane transporter activity;succinate transmembrane transporter activity;sodium ion transport;citrate transport;succinate transmembrane transport		
dp_gene12210	Gamma-glutamyltranspeptidase 1 precursor	integral component of membrane;gamma-glutamyltransferase activity;glutathione metabolic process		
dp_gene12211	neurotrimin-like isoform X3			
dp_gene12212	hypothetical protein DAPPUDRAFT_307384			
dp_gene12213	Speckle-type poz			
dp_gene12214	Gamma-glutamyltranspeptidase 1 precursor	integral component of membrane;gamma-glutamyltransferase activity;glutathione metabolic process		
dp_gene12215	---NA---			
dp_gene12216	G- coupled receptor Mth	integral component of membrane;G-protein coupled receptor activity;cell surface receptor signaling pathway;G-protein coupled receptor signaling pathway		
dp_gene12217	---NA---			
dp_gene12218	WD repeat-containing 59 isoform X2	integral component of membrane		
dp_gene12219	WD repeat-containing 59 isoform X1	integral component of membrane		
dp_gene12220	Transmembrane 185A	integral component of membrane		
dp_gene12221	hypothetical protein DAPPUDRAFT_248685	nucleic acid binding		
dp_gene12222	glycogen [starch] synthase	integral component of membrane;glycogen (starch) synthase activity;glycogen biosynthetic process		
dp_gene12223	COP9 signalosome complex subunit 2			
dp_gene12224	WD repeat-containing 59 isoform X1			
dp_gene12225	S-phase kinase-associated 1	kinase activity;ubiquitin-dependent protein catabolic process;phosphorylation		
dp_gene12226	Transmembrane 185A	integral component of membrane		
dp_gene12227	Glycogen [starch] synthase	integral component of membrane;glycogen (starch) synthase activity;glycogen biosynthetic process		
dp_gene12228	COP9 signalosome complex subunit 2			
dp_gene12229	COP9 signalosome complex subunit 2			
dp_gene12230	Peptidylglycine alpha-hydroxylating monooxygenase	membrane;copper ion binding;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen;peptide metabolic process;oxidation-reduction process		
dp_gene12231	Peptidylglycine alpha-hydroxylating	monooxygenase activity;metabolic process		
dp_gene12232	Uncharacterized protein APZ42_034264			
dp_gene12233	Uncharacterized protein APZ42_034264			
dp_gene12234	hypothetical protein			
dp_gene12235	Uncharacterized protein APZ42_034264			
dp_gene12236	hypothetical protein			
dp_gene12237	hypothetical protein DAPPUDRAFT_307389			
dp_gene12238	Tyrosine- kinase receptor TYRO3	integral component of membrane		
dp_gene12239	Long-chain-fatty-acid-- ligase	integral component of membrane;ligase activity;metabolic process		
dp_gene12240	COMM domain-containing 2			
dp_gene12241	isoform A			
dp_gene12242	surfeit locus 4 homolog	integral component of membrane		
dp_gene12243	nuclear receptor coactivator 2 isoform X7	nucleus;transferase activity;ligase activity;ligand-dependent nuclear receptor binding;ligand-dependent nuclear receptor transcription coactivator activity;nuclear hormone receptor binding;metal ion binding;protein dimerization activity;transcription, DNA-templated;cellular protein modification process;intracellular receptor signaling pathway;cellular response to hormone stimulus;positive regulation of transcription from RNA polymerase II promoter		
dp_gene12244	mRNA turnover 4 homolog	nucleoplasm;nucleolus;cytosolic large ribosomal subunit;preribosome, large subunit precursor;nuclear membrane;structural constituent of ribosome;large ribosomal subunit rRNA binding;ribosomal large subunit assembly;nuclear-transcribed mRNA catabolic process;cytoplasmic translation;rRNA processing		
dp_gene12245	14-3-3 zeta	protein domain specific binding		
dp_gene12246	TIMELESS-interacting	nucleus;cellular response to DNA damage stimulus;cell cycle;replication fork protection		
dp_gene12247	Bumetanide-sensitive na-k-cl cotransport	integral component of membrane;cation:chloride symporter activity;chloride transmembrane transport		
dp_gene12248	RNA-binding 12	nucleotide binding;nucleic acid binding		
dp_gene12249	CCR4-NOT transcription complex subunit 1-like	P-body;CCR4-NOT core complex;protein complex scaffold;nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay;negative regulation of translation		
dp_gene12250	hypothetical protein DAPPUDRAFT_307394	integral component of membrane		
dp_gene12251	DNA topoisomerase mitochondrial	nucleolus;integral component of membrane;replication fork protection complex;DNA binding;DNA topoisomerase type I activity;DNA topoisomerase type II (ATP-hydrolyzing) activity;DNA replication;DNA topological change;chromatin remodeling;chromosome segregation		
dp_gene12252	Chymotrypsin BI precursor	serine-type endopeptidase activity;proteolysis		
dp_gene12253	suppressor of cytokine signaling 5-like isoform X2	cytoplasm;protein kinase inhibitor activity;negative regulation of protein kinase activity;epidermal growth factor receptor signaling pathway;JAK-STAT cascade;cytokine-mediated signaling pathway;positive regulation of proteasomal ubiquitin-dependent protein catabolic process;negative regulation of epidermal growth factor receptor signaling pathway;negative regulation of JAK-STAT cascade		
dp_gene12254	60S acidic ribosomal P0	cytosolic large ribosomal subunit;preribosome, large subunit precursor;structural constituent of ribosome;large ribosomal subunit rRNA binding;cytoplasmic translation;ribosome biogenesis		
dp_gene12255	translational activator of cytochrome c oxidase 1	mitochondrion		
dp_gene12256	COP9 signalosome complex subunit 6	COP9 signalosome		
dp_gene12257	Serine threonine- phosphatase 2A regulatory subunit B subunit alpha	calcium ion binding		
dp_gene12258	Serine threonine- phosphatase 2A regulatory subunit B subunit alpha	calcium ion binding		
dp_gene12259	hypothetical protein DAPPUDRAFT_252093	calcium ion binding		
dp_gene12260	serine threonine- phosphatase 2A regulatory subunit B subunit alpha isoform X1	calcium ion binding		
dp_gene12261	Serine threonine- phosphatase 2A regulatory subunit B subunit alpha	calcium ion binding		
dp_gene12262	sodium potassium-transporting ATPase subunit beta-2	sodium:potassium-exchanging ATPase complex;potassium ion transport;sodium ion transport		
dp_gene12263	---NA---			
dp_gene12264	Chymotrypsin BI precursor	serine-type endopeptidase activity;proteolysis		
dp_gene12265	Aminopeptidase NPEPL1	cytoplasm;aminopeptidase activity;metalloexopeptidase activity;manganese ion binding;proteolysis		
dp_gene12266	ER membrane complex subunit 8			
dp_gene12267	Tropomodulin-1	cytoskeleton;integral component of membrane;myofibril;tropomyosin binding;actin filament organization;myofibril assembly;pointed-end actin filament capping		
dp_gene12268	hypothetical protein DAPPUDRAFT_252099			
dp_gene12269	Steroid dehydrogenase			
dp_gene12270	Collagen alpha-2(IV) chain			
dp_gene12271	Steroid dehydrogenase	membrane		
dp_gene12272	Helicase c-terminal domain containing	protein transport		
dp_gene12273	Helicase c-terminal domain containing			
dp_gene12274	---NA---			
dp_gene12275	Steroid dehydrogenase	integral component of membrane		
dp_gene12276	cell division cycle 123 homolog	cytoplasm;formation of cytoplasmic translation initiation complex;regulation of translation;cell cycle arrest;regulation of mitotic cell cycle;cell division		
dp_gene12277	hypothetical protein DAPPUDRAFT_252110			
dp_gene12278	---NA---			
dp_gene12279	Prolyl alpha subunit	endoplasmic reticulum;procollagen-proline 4-dioxygenase activity;iron ion binding;oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen;L-ascorbic acid binding;peptidyl-proline hydroxylation;oxidation-reduction process		
dp_gene12280	Mesoderm induction early response 1	nucleus;DNA binding		
dp_gene12281	hypothetical protein DAPPUDRAFT_109094			
dp_gene12282	---NA---			
dp_gene12283	mitochondrial import inner membrane translocase subunit Tim17-B-like	mitochondrial inner membrane presequence translocase complex;integral component of mitochondrial inner membrane;protein channel activity;P-P-bond-hydrolysis-driven protein transmembrane transporter activity;protein import into mitochondrial matrix		
dp_gene12284	small glutamine-rich tetratricopeptide repeat-containing alpha-like			
dp_gene12285	Class a rhodopsin g- coupled receptor gprals	integral component of plasma membrane;neuropeptide Y receptor activity;peptide binding;neuropeptide signaling pathway;cellular response to hormone stimulus;response to peptide		
dp_gene12286	Class a rhodopsin g- coupled receptor gprals	integral component of membrane;neuropeptide Y receptor activity;neuropeptide signaling pathway		
dp_gene12287	Uncharacterized protein APZ42_017889			
dp_gene12288	Steroid dehydrogenase			
dp_gene12289	Myb-like DNA-binding BAS1			
dp_gene12290	MFS-type transporter	integral component of membrane;transmembrane transport		
dp_gene12291	yrdC domain-containing mitochondrial-like	cytoplasm;tRNA binding;double-stranded RNA binding;nucleotidyltransferase activity;tRNA threonylcarbamoyladenosine modification;regulation of translational fidelity		
dp_gene12292	pleckstrin homology domain-containing family M member 1			
dp_gene12293	Voltage-dependent calcium channel subunit alpha-2 delta-1	integral component of membrane		
dp_gene12294	non-structural maintenance of chromosomes element 4 homolog A-like isoform X3	nucleus;Smc5-Smc6 complex;DNA repair		
dp_gene12295	Non-structural maintenance of chromosome element 4	nucleus;Smc5-Smc6 complex;DNA repair		
dp_gene12296	muscle-specific 20	actin binding;calmodulin binding;actomyosin structure organization		
dp_gene12297	exportin-6 isoform X1	intracellular;Ran GTPase binding;intracellular protein transport		
dp_gene12298	Solute carrier organic anion transporter family member 3A1	integral component of plasma membrane;sodium-independent organic anion transmembrane transporter activity;sodium-independent organic anion transport		
dp_gene12299	FAD-dependent oxidoreductase domain-containing 1	oxidoreductase activity;oxidation-reduction process		
dp_gene12300	Tetratricopeptide repeat	microtubule organizing center;cilium;intraciliary transport particle B;smoothened signaling pathway;intraciliary transport		
dp_gene12301	60S ribosomal L38	ribosome;structural constituent of ribosome;translation		
dp_gene12302	Transmembrane and coiled-coil domain-containing 1	integral component of membrane		
dp_gene12303	Nuclear receptor coactivator			
dp_gene12304	Nuclear receptor coactivator			
dp_gene12305	TLD domain-containing 2 isoform X15			
dp_gene12306	F-box WD repeat-containing	myosin heavy chain kinase activity;protein phosphorylation		
dp_gene12307	hypothetical protein DAPPUDRAFT_311218			
dp_gene12308	lactadherin-like isoform X5			
dp_gene12309	Integrator complex subunit 1	nucleus;blastocyst growth;snRNA processing;negative regulation of apoptotic process		
dp_gene12310	Integrator complex subunit 1			
dp_gene12311	Histone H2A deubiquitinase MYSM1	nucleus;DNA binding;peptidase activity, acting on L-amino acid peptides;chromatin organization;macromolecule metabolic process;primary metabolic process		
dp_gene12312	Solute carrier family riboflavin member 3-A	integral component of plasma membrane;riboflavin transporter activity;riboflavin transport		
dp_gene12313	Ribosomal RNA methyltransferase NOP2	integral component of membrane;RNA binding;S-adenosylmethionine-dependent methyltransferase activity;rRNA processing;methylation		
dp_gene12314	Membrane-associated Hem	oxidoreductase activity		
dp_gene12315	G- coupled receptor Mth2-like	integral component of membrane		
dp_gene12316	Glutamate carboxypeptidase	integral component of membrane;carboxypeptidase activity;proteolysis		
dp_gene12317	BUD13 homolog			
dp_gene12318	Follistatin-related 1	calcium ion binding		
dp_gene12319	hypothetical protein DAPPUDRAFT_94690			
dp_gene12320	Elongator complex 3	histone acetyltransferase complex;nucleolus;cytoplasm;transcription elongation factor complex;Elongator holoenzyme complex;RNA polymerase II core binding;phosphorylase kinase regulator activity;H3 histone acetyltransferase activity;H4 histone acetyltransferase activity;iron-sulfur cluster binding;neuron migration;tRNA wobble uridine modification;regulation of transcription from RNA polymerase II promoter;transcription elongation from RNA polymerase II promoter;central nervous system development;positive regulation of cell migration;histone H3 acetylation;histone H4 acetylation;regulation of protein kinase activity		
dp_gene12321	Carboxypeptidase B	extracellular space;metallocarboxypeptidase activity;zinc ion binding;proteolysis		
dp_gene12322	hypothetical protein DAPPUDRAFT_310179			
dp_gene12323	Seipin	integral component of membrane;lipid storage		
dp_gene12324	B-cell CLL lymphoma 6 member B	nucleic acid binding;metal ion binding		
dp_gene12325	WD repeat-containing 43-like	catalytic step 2 spliceosome;second spliceosomal transesterification activity;generation of catalytic spliceosome for second transesterification step		
dp_gene12326	zinc transporter 7	Golgi apparatus;integral component of membrane;zinc ion transmembrane transporter activity;response to zinc ion;regulation of sequestering of zinc ion;zinc II ion transmembrane transport		
dp_gene12327	40S ribosomal S25	ribosome		
dp_gene12328	stAR-related lipid transfer 9 isoform X2	kinesin complex;microtubule;microtubule motor activity;ATP binding;microtubule binding;ATPase activity;microtubule-based movement		
dp_gene12329	stAR-related lipid transfer 9-like	kinesin complex;nucleotide binding;microtubule motor activity;ATPase activity;microtubule-based movement		
dp_gene12330	Tudor domain-containing			
dp_gene12331	---NA---			
dp_gene12332	---NA---			
dp_gene12333	kinesin KLP1			
dp_gene12334	6-pyruvoyl tetrahydrobiopterin synthase	6-pyruvoyltetrahydropterin synthase activity;metal ion binding;tetrahydrobiopterin biosynthetic process		
dp_gene12335	Pro convertase subtilisin kexin type	membrane;serine-type endopeptidase activity;protein processing		
dp_gene12336	zinc transporter ZIP13 homolog	cell;integral component of membrane;zinc ion transmembrane transporter activity;cellular zinc ion homeostasis;zinc II ion transmembrane transport		
dp_gene12337	uncharacterized F-box LRR-repeat isoform X1			
dp_gene12338	transcription elongation regulator 1 isoform X1			
dp_gene12339	probable nuclear hormone receptor HR38	nucleus;steroid hormone receptor activity;retinoic acid receptor activity;zinc ion binding;sequence-specific DNA binding;transcription, DNA-templated;regulation of transcription, DNA-templated;steroid hormone mediated signaling pathway;retinoic acid receptor signaling pathway		
dp_gene12340	methylosome 50-like			
dp_gene12341	cuticular RR-2 motif (pro-resilin )	structural constituent of cuticle		
dp_gene12342	gamma-aminobutyric acid receptor alpha-like	plasma membrane;integral component of membrane;GABA-A receptor activity;extracellular ligand-gated ion channel activity;chloride channel activity;signal transduction;chloride transmembrane transport		
dp_gene12343	synaptotagmin-5 isoform X2	plasma membrane;integral component of membrane;presynapse;calcium ion binding;calcium-dependent phospholipid binding;syntaxin binding;clathrin binding;vesicle fusion;regulation of calcium ion-dependent exocytosis;calcium ion-regulated exocytosis of neurotransmitter		
dp_gene12344	Uncharacterized protein APZ42_032792			
dp_gene12345	Fibulin 1 and	calcium ion binding		
dp_gene12346	Ras association domain-containing	signal transduction		
dp_gene12347	SCY1 2	protein kinase activity;ATP binding;protein phosphorylation		
dp_gene12348	FAST kinase domain-containing	integral component of membrane;transferase activity		
dp_gene12349	steroid receptor RNA activator 1	nucleus;ligand-dependent nuclear receptor transcription coactivator activity;regulation of nucleic acid-templated transcription;positive regulation of receptor activity		
dp_gene12350	hypothetical protein DAPPUDRAFT_94768			
dp_gene12351	---NA---			
dp_gene12352	hypothetical protein DAPPUDRAFT_310152	integral component of membrane		
dp_gene12353	CD9 antigen-like	integral component of plasma membrane;cell surface receptor signaling pathway		
dp_gene12354	RING-box 1A	Cul2-RING ubiquitin ligase complex;Cul3-RING ubiquitin ligase complex;Cul7-RING ubiquitin ligase complex;nuclear SCF ubiquitin ligase complex;Cul4-RING E3 ubiquitin ligase complex;zinc ion binding;ligase activity;NEDD8 transferase activity;ubiquitin protein ligase activity;cullin family protein binding;SCF-dependent proteasomal ubiquitin-dependent protein catabolic process;protein ubiquitination involved in ubiquitin-dependent protein catabolic process;protein neddylation		
dp_gene12355	dolichyldiphosphatase 1-like	integral component of endoplasmic reticulum membrane;dolichyldiphosphatase activity;protein N-linked glycosylation;lipid biosynthetic process		
dp_gene12356	splicing factor 3B subunit 6	U2-type spliceosomal complex;U2 snRNP;U12-type spliceosomal complex;precatalytic spliceosome;catalytic step 2 spliceosome;nucleotide binding;nucleic acid binding;mRNA splicing, via spliceosome		
dp_gene12357	pantothenate kinase 3 isoform X2	integral component of membrane;pantothenate kinase activity;ATP binding;coenzyme A biosynthetic process;phosphorylation		
dp_gene12358	Nuclear hormone receptor HR96	nucleus;transcription factor activity, sequence-specific DNA binding;steroid hormone receptor activity;zinc ion binding;sequence-specific DNA binding;transcription, DNA-templated;regulation of transcription, DNA-templated;steroid hormone mediated signaling pathway		
dp_gene12359	prolactin-releasing peptide receptor-like isoform X1	integral component of plasma membrane;neuropeptide Y receptor activity;cell surface receptor signaling pathway;neuropeptide signaling pathway		
dp_gene12360	c-type lectin ctl - mannose			
dp_gene12361	Transmembrane 208	vacuole;integral component of membrane;vacuolar protein processing		
dp_gene12362	exosome complex component RRP45	nuclear exosome (RNase complex);cytoplasmic exosome (RNase complex);AU-rich element binding;exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5';U1 snRNA 3'-end processing;U4 snRNA 3'-end processing;U5 snRNA 3'-end processing;exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay;nuclear mRNA surveillance;nuclear polyadenylation-dependent rRNA catabolic process;nuclear polyadenylation-dependent tRNA catabolic process;nuclear polyadenylation-dependent mRNA catabolic process		
dp_gene12363	High mobility group DSP1	nucleus;integral component of membrane;DNA binding;protein serine/threonine kinase activity;ATP binding;regulation of transcription, DNA-templated;protein phosphorylation;spermatogenesis;regulation of cell differentiation		
dp_gene12364	Tyrosyl-DNA phosphodiesterase	nucleus;phosphoric diester hydrolase activity;DNA repair		
dp_gene12365	Serine threonine- phosphatase 6 regulatory subunit			
dp_gene12366	hypothetical protein DAPPUDRAFT_100959			
dp_gene12367	---NA---			
dp_gene12368	---NA---			
dp_gene12369	hypothetical protein DAPPUDRAFT_233258			
dp_gene12370	Ras-interacting RIP3	extracellular space;membrane;structural constituent of cuticle		
dp_gene12371	Cuticular 27	extracellular space;structural constituent of cuticle		
dp_gene12372	RNA polymerase II degradation factor 1-like	extracellular space;structural constituent of cuticle		
dp_gene12373	hemicentin-1-like isoform X2			
dp_gene12374	Synaptotagmin 4			
